wheel_index,slip_ratio,angular_velocity,linear_speed,current_brake_torque,current_drive_torque,desired_brake_torque,desired_drive_torque,speed_to_velocity_ratio,excess_drive_torque,slip_deviation
1,0.00245864,55.7187,16.6746,0,21.2249,0,21.5607,0.2992639760212644,-0.335799999999999,-0.09754136000000001
2,0.00245864,55.7187,16.6746,0,21.2249,0,21.5607,0.2992639760212644,-0.335799999999999,-0.09754136000000001
3,0.00245864,55.7187,16.6746,0,21.2249,0,21.5607,0.2992639760212644,-0.335799999999999,-0.09754136000000001
0,0.00249834,55.7289,16.677,0,21.5606,0,21.8963,0.29925226768781965,-0.3356999999999992,-0.09750166
1,0.00249834,55.7289,16.677,0,21.5606,0,21.8963,0.29925226768781965,-0.3356999999999992,-0.09750166
2,0.00249834,55.7289,16.677,0,21.5606,0,21.8963,0.29925226768781965,-0.3356999999999992,-0.09750166
3,0.00249834,55.7289,16.677,0,21.5606,0,21.8963,0.29925226768781965,-0.3356999999999992,-0.09750166
0,0.00253806,55.7392,16.6794,0,21.8962,0,22.2318,0.2992400267811518,-0.33559999999999945,-0.09746194000000001
1,0.00253806,55.7392,16.6794,0,21.8962,0,22.2318,0.2992400267811518,-0.33559999999999945,-0.09746194000000001
2,0.00253806,55.7392,16.6794,0,21.8962,0,22.2318,0.2992400267811518,-0.33559999999999945,-0.09746194000000001
3,0.00253806,55.7392,16.6794,0,21.8962,0,22.2318,0.2992400267811518,-0.33559999999999945,-0.09746194000000001
0,0.00257776,55.7496,16.6819,0,22.2317,0,22.5671,0.29922904739712847,-0.3353999999999999,-0.09742224000000001
1,0.00257776,55.7496,16.6819,0,22.2317,0,22.5671,0.29922904739712847,-0.3353999999999999,-0.09742224000000001
2,0.00257776,55.7496,16.6819,0,22.2317,0,22.5671,0.29922904739712847,-0.3353999999999999,-0.09742224000000001
3,0.00257776,55.7496,16.6819,0,22.2317,0,22.5671,0.29922904739712847,-0.3353999999999999,-0.09742224000000001
0,0.00261748,55.7602,16.6844,0,22.567,0,22.9024,0.2992169988770306,-0.3353999999999999,-0.09738252
1,0.00261748,55.7602,16.6844,0,22.567,0,22.9024,0.2992169988770306,-0.3353999999999999,-0.09738252
2,0.00261748,55.7602,16.6844,0,22.567,0,22.9024,0.2992169988770306,-0.3353999999999999,-0.09738252
3,0.00261748,55.7602,16.6844,0,22.567,0,22.9024,0.2992169988770306,-0.3353999999999999,-0.09738252
0,0.00265718,55.7708,16.6869,0,22.9023,0,23.2375,0.2992049549369033,-0.3352000000000004,-0.09734282000000001
1,0.00265718,55.7708,16.6869,0,22.9023,0,23.2375,0.2992049549369033,-0.3352000000000004,-0.09734282000000001
2,0.00265718,55.7708,16.6869,0,22.9023,0,23.2375,0.2992049549369033,-0.3352000000000004,-0.09734282000000001
3,0.00265718,55.7708,16.6869,0,22.9023,0,23.2375,0.2992049549369033,-0.3352000000000004,-0.09734282000000001
0,0.00269689,55.7816,16.6895,0,23.2374,0,23.5725,0.29919363555018796,-0.3351000000000006,-0.09730311000000001
1,0.00269689,55.7816,16.6895,0,23.2374,0,23.5725,0.29919363555018796,-0.3351000000000006,-0.09730311000000001
2,0.00269689,55.7816,16.6895,0,23.2374,0,23.5725,0.29919363555018796,-0.3351000000000006,-0.09730311000000001
3,0.00269689,55.7816,16.6895,0,23.2374,0,23.5725,0.29919363555018796,-0.3351000000000006,-0.09730311000000001
0,0.00273659,55.7926,16.6921,0,23.5724,0,23.9074,0.29918124806549173,-0.33500000000000085,-0.09726341000000001
1,0.00273659,55.7926,16.6921,0,23.5724,0,23.9074,0.29918124806549173,-0.33500000000000085,-0.09726341000000001
2,0.00273659,55.7926,16.6921,0,23.5724,0,23.9074,0.29918124806549173,-0.33500000000000085,-0.09726341000000001
3,0.00273659,55.7926,16.6921,0,23.5724,0,23.9074,0.29918124806549173,-0.33500000000000085,-0.09726341000000001
0,0.0027763,55.8036,16.6947,0,23.9072,0,24.2421,0.29916886546443483,-0.3349000000000011,-0.09722370000000001
1,0.0027763,55.8036,16.6947,0,23.9072,0,24.2421,0.29916886546443483,-0.3349000000000011,-0.09722370000000001
2,0.0027763,55.8036,16.6947,0,23.9072,0,24.2421,0.29916886546443483,-0.3349000000000011,-0.09722370000000001
3,0.0027763,55.8036,16.6947,0,23.9072,0,24.2421,0.29916886546443483,-0.3349000000000011,-0.09722370000000001
0,0.002816,55.8148,16.6974,0,24.242,0,24.5768,0.2991572074224541,-0.33479999999999777,-0.097184
1,0.002816,55.8148,16.6974,0,24.242,0,24.5768,0.2991572074224541,-0.33479999999999777,-0.097184
2,0.002816,55.8148,16.6974,0,24.242,0,24.5768,0.2991572074224541,-0.33479999999999777,-0.097184
3,0.002816,55.8148,16.6974,0,24.242,0,24.5768,0.2991572074224541,-0.33479999999999777,-0.097184
0,0.0028557,55.8261,16.7002,0,24.5767,0,24.9113,0.29914680948253936,-0.3346000000000018,-0.0971443
1,0.0028557,55.8261,16.7002,0,24.5767,0,24.9113,0.29914680948253936,-0.3346000000000018,-0.0971443
2,0.0028557,55.8261,16.7002,0,24.5767,0,24.9113,0.29914680948253936,-0.3346000000000018,-0.0971443
3,0.0028557,55.8261,16.7002,0,24.5767,0,24.9113,0.29914680948253936,-0.3346000000000018,-0.0971443
0,0.0028954,55.8376,16.7029,0,24.9112,0,25.2457,0.29913355339173686,-0.33449999999999847,-0.0971046
1,0.0028954,55.8376,16.7029,0,24.9112,0,25.2457,0.29913355339173686,-0.33449999999999847,-0.0971046
2,0.0028954,55.8376,16.7029,0,24.9112,0,25.2457,0.29913355339173686,-0.33449999999999847,-0.0971046
3,0.0028954,55.8376,16.7029,0,24.9112,0,25.2457,0.29913355339173686,-0.33449999999999847,-0.0971046
0,0.0029351,55.8492,16.7057,0,25.2456,0,25.58,0.29912155771037796,-0.3343999999999987,-0.09706490000000001
1,0.0029351,55.8492,16.7057,0,25.2456,0,25.58,0.29912155771037796,-0.3343999999999987,-0.09706490000000001
2,0.0029351,55.8492,16.7057,0,25.2456,0,25.58,0.29912155771037796,-0.3343999999999987,-0.09706490000000001
3,0.0029351,55.8492,16.7057,0,25.2456,0,25.58,0.29912155771037796,-0.3343999999999987,-0.09706490000000001
0,0.0029748,55.8608,16.7085,0,25.5799,0,25.9142,0.29910956701104235,-0.3343000000000025,-0.0970252
1,0.0029748,55.8608,16.7085,0,25.5799,0,25.9142,0.29910956701104235,-0.3343000000000025,-0.0970252
2,0.0029748,55.8608,16.7085,0,25.5799,0,25.9142,0.29910956701104235,-0.3343000000000025,-0.0970252
3,0.0029748,55.8608,16.7085,0,25.5799,0,25.9142,0.29910956701104235,-0.3343000000000025,-0.0970252
0,0.00301449,55.8727,16.7114,0,25.914,0,26.2482,0.2990977651143087,-0.33419999999999916,-0.09698551000000001
1,0.00301449,55.8727,16.7114,0,25.914,0,26.2482,0.2990977651143087,-0.33419999999999916,-0.09698551000000001
2,0.00301449,55.8727,16.7114,0,25.914,0,26.2482,0.2990977651143087,-0.33419999999999916,-0.09698551000000001
3,0.00301449,55.8727,16.7114,0,25.914,0,26.2482,0.2990977651143087,-0.33419999999999916,-0.09698551000000001
0,0.00305419,55.8846,16.7143,0,26.2481,0,26.5821,0.2990859682437386,-0.33399999999999963,-0.09694581000000001
1,0.00305419,55.8846,16.7143,0,26.2481,0,26.5821,0.2990859682437386,-0.33399999999999963,-0.09694581000000001
2,0.00305419,55.8846,16.7143,0,26.2481,0,26.5821,0.2990859682437386,-0.33399999999999963,-0.09694581000000001
3,0.00305419,55.8846,16.7143,0,26.2481,0,26.5821,0.2990859682437386,-0.33399999999999963,-0.09694581000000001
0,0.00309388,55.8967,16.7173,0,26.582,0,26.9159,0.2990748953144838,-0.33389999999999986,-0.09690612000000001
1,0.00309388,55.8967,16.7173,0,26.582,0,26.9159,0.2990748953144838,-0.33389999999999986,-0.09690612000000001
2,0.00309388,55.8967,16.7173,0,26.582,0,26.9159,0.2990748953144838,-0.33389999999999986,-0.09690612000000001
3,0.00309388,55.8967,16.7173,0,26.582,0,26.9159,0.2990748953144838,-0.33389999999999986,-0.09690612000000001
0,0.00313357,55.9089,16.7203,0,26.9158,0,27.2496,0.2990632922653944,-0.3338000000000001,-0.09686643
1,0.00313357,55.9089,16.7203,0,26.9158,0,27.2496,0.2990632922653944,-0.3338000000000001,-0.09686643
2,0.00313357,55.9089,16.7203,0,26.9158,0,27.2496,0.2990632922653944,-0.3338000000000001,-0.09686643
3,0.00313357,55.9089,16.7203,0,26.9158,0,27.2496,0.2990632922653944,-0.3338000000000001,-0.09686643
0,0.00317326,55.9212,16.7233,0,27.2495,0,27.5832,0.29905115950567657,-0.33370000000000033,-0.09682674000000001
1,0.00317326,55.9212,16.7233,0,27.2495,0,27.5832,0.29905115950567657,-0.33370000000000033,-0.09682674000000001
2,0.00317326,55.9212,16.7233,0,27.2495,0,27.5832,0.29905115950567657,-0.33370000000000033,-0.09682674000000001
3,0.00317326,55.9212,16.7233,0,27.2495,0,27.5832,0.29905115950567657,-0.33370000000000033,-0.09682674000000001
0,0.00321295,55.9337,16.7264,0,27.5831,0,27.9166,0.2990397506505068,-0.33349999999999724,-0.09678705
1,0.00321295,55.9337,16.7264,0,27.5831,0,27.9166,0.2990397506505068,-0.33349999999999724,-0.09678705
2,0.00321295,55.9337,16.7264,0,27.5831,0,27.9166,0.2990397506505068,-0.33349999999999724,-0.09678705
3,0.00321295,55.9337,16.7264,0,27.5831,0,27.9166,0.2990397506505068,-0.33349999999999724,-0.09678705
0,0.00325264,55.9463,16.7295,0,27.9165,0,28.25,0.2990278124017529,-0.3335000000000008,-0.09674736
1,0.00325264,55.9463,16.7295,0,27.9165,0,28.25,0.2990278124017529,-0.3335000000000008,-0.09674736
2,0.00325264,55.9463,16.7295,0,27.9165,0,28.25,0.2990278124017529,-0.3335000000000008,-0.09674736
3,0.00325264,55.9463,16.7295,0,27.9165,0,28.25,0.2990278124017529,-0.3335000000000008,-0.09674736
0,0.00329233,55.959,16.7326,0,28.2499,0,28.5832,0.29901534518101924,-0.33330000000000126,-0.09670767000000001
1,0.00329233,55.959,16.7326,0,28.2499,0,28.5832,0.29901534518101924,-0.33330000000000126,-0.09670767000000001
2,0.00329233,55.959,16.7326,0,28.2499,0,28.5832,0.29901534518101924,-0.33330000000000126,-0.09670767000000001
3,0.00329233,55.959,16.7326,0,28.2499,0,28.5832,0.29901534518101924,-0.33330000000000126,-0.09670767000000001
0,0.00333201,55.9718,16.7358,0,28.5831,0,28.9163,0.29900413602914083,-0.33319999999999794,-0.09666799000000001
1,0.00333201,55.9718,16.7358,0,28.5831,0,28.9163,0.29900413602914083,-0.33319999999999794,-0.09666799000000001
2,0.00333201,55.9718,16.7358,0,28.5831,0,28.9163,0.29900413602914083,-0.33319999999999794,-0.09666799000000001
3,0.00333201,55.9718,16.7358,0,28.5831,0,28.9163,0.29900413602914083,-0.33319999999999794,-0.09666799000000001
0,0.0033717,55.9848,16.739,0,28.9162,0,29.2493,0.29899186388105586,-0.33310000000000173,-0.0966283
